"PointID","x","y","Pressure","Velocity_x","Velocity_y","Turb_Kin_Energy","Omega","LM_gamma","LM_Re_t"
95, 4.518102279000000e-01, 9.953893140000000e-02, 1.187702554324874e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.000000000000000e-04, 1.007139019968104e+00, 1.002604063484544e+03
96, 4.430835521000000e-01, 1.005806691000000e-01, 1.488970187777422e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.000000000000000e-04, 1.007823574303764e+00, 1.002869491901096e+03
97, 4.343744079000000e-01, 1.015459026000000e-01, 2.070881698507885e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.000000000000000e-04, 1.020377647936620e+00, 1.026680859386980e+03
98, 4.256854778000000e-01, 1.024322830000000e-01, 2.397551866898878e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.000000000000000e-04, 1.020364710729448e+00, 1.027581915732287e+03
99, 4.170194383000000e-01, 1.032376536000000e-01, 2.672940733966194e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.000000000000000e-04, 1.016411564904112e+00, 1.027941307885255e+03
100, 4.083789586000000e-01, 1.039600591000000e-01, 3.287952082502467e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.000000000000000e-04, 1.033731023602462e+00, 1.044720866313426e+03
101, 3.997667003000000e-01, 1.045977531000000e-01, 3.616652785246896e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.000000000000000e-04, 1.033708685177811e+00, 1.046047586800608e+03
102, 3.911853162000000e-01, 1.051492054000000e-01, 3.864946110534597e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.000000000000000e-04, 1.025062877270022e+00, 1.046402825900901e+03
103, 3.826374494000000e-01, 1.056131082000000e-01, 4.510776825640485e-01, 9.377365958066859e-321, 6.571073089688579e-322, 1.000000000000000e-10, 1.000000000000000e-04, 1.047159759425832e+00, 1.063185889492969e+03
104, 3.741257329000000e-01, 1.059883809000000e-01, 4.840059792719735e-01, 1.122038891806138e-317, 7.846058895346500e-319, 1.000000000000000e-10, 1.000000000000000e-04, 1.047129109426451e+00, 1.064508829388614e+03
105, 3.656527885000000e-01, 1.062741742000000e-01, 5.059810018993582e-01, -3.529242774364899e-316, -2.467886556784485e-317, 1.000000000000000e-10, 1.000000000000000e-04, 1.033723794944236e+00, 1.065571869578542e+03
106, 3.572212261000000e-01, 1.064698728000000e-01, 5.736203731323150e-01, 3.685720839878689e-310, 2.577306942801008e-311, 1.000000000000000e-10, 1.000000000000000e-04, 1.060659792704538e+00, 1.080243542964872e+03
107, 3.488336428000000e-01, 1.065750971000000e-01, 6.065651374796182e-01, 9.825908748630781e-308, 6.870944365392888e-309, 1.000000000000000e-10, 1.000000000000000e-04, 1.060621984026894e+00, 1.080710980245062e+03
